"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL DE PLANEA.Y FINANZAS","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2015-03-30,2016-03-29,"1 años, 5 meses, 29 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL DE PLANEA.Y FINANZAS","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2014-03-26,2015-03-30,"0 años, 5 meses, 25 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL DE PLANEA.Y FINANZAS","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2013-10-01,2014-03-26,"0 años, 6 meses, 10 días."
"MAGGIOLO DIBOS JAVIER ERNESTO","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","G. CENTRAL ADM. DE ACTIVOS","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2011-05-12,2012-02-22,"3 años, 1 meses, 11 días."
"MAGGIOLO DIBOS JAVIER ERNESTO","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","G. CENTRAL ADM. DE ACTIVOS","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2011-03-24,2011-05-12,"2 años, 11 meses, 23 días."
"MAGGIOLO DIBOS JAVIER ERNESTO","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","G. CENTRAL ADM. DE ACTIVOS","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2010-11-11,2011-03-24,"1 años, 11 meses, 17 días."
"LOAIZA NEGREIROS RUBEN FERNANDO","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE DE SUBSIDIARIAS","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2013-05-21,2014-01-10,"1 años, 0 meses, 11 días."
"LOAIZA NEGREIROS RUBEN FERNANDO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","GERENTE DE SUBSIDIARIAS","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2013-03-21,2013-05-21,"0 años, 10 meses, 11 días."
"LOAIZA NEGREIROS RUBEN FERNANDO","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE DE SUBSIDIARIAS","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2012-05-10,2013-03-21,"0 años, 1 meses, 10 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL BCA. MINORISTA","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2016-03-29,2017-01-11,"7 años, 11 meses, 28 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL BCA. MINORISTA","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2015-03-30,2016-03-29,"6 años, 11 meses, 29 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL BCA. MINORISTA","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2014-03-26,2015-03-30,"5 años, 11 meses, 25 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL BCA. MINORISTA","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2013-03-21,2014-03-26,"4 años, 11 meses, 20 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL BCA. MINORISTA","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2012-03-30,2013-03-21,"3 años, 11 meses, 29 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL BCA. MINORISTA","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2011-03-24,2012-03-30,"2 años, 11 meses, 23 días."
"RUBIO FEIJOO PEDRO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL DE NEGOCIOS MAYORIST","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2016-03-29,2017-01-11,"7 años, 11 meses, 28 días."
"RUBIO FEIJOO PEDRO","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","G.CENTRAL DE NEGOCIOS MAYORIST","CREDICORP LTD.","GRUPO CREDITO S.A.",84.86,99.99,2015-03-30,2016-03-29,"6 años, 11 meses, 29 días."
