BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,26/03/2014,22/05/2014,MIBANCO BANCO DE LA MICROEMPRESA S.A.,PRESIDENTE DEL DIRECTORIO,23/03/2016,A la actualidad,CREDICORP LTD.,"1 años, 10 meses, 1 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,26/03/2014,22/05/2014,MIBANCO BANCO DE LA MICROEMPRESA S.A.,PRESIDENTE DEL DIRECTORIO,15/04/2015,23/03/2016,CREDICORP LTD.,"0 años, 10 meses, 24 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,26/03/2014,22/05/2014,MIBANCO BANCO DE LA MICROEMPRESA S.A.,DIRECTOR,24/03/2015,15/04/2015,CREDICORP LTD.,"0 años, 10 meses, 2 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,PRESIDENTE DEL DIRECTORIO,22/05/2014,30/03/2015,MIBANCO BANCO DE LA MICROEMPRESA S.A.,PRESIDENTE DEL DIRECTORIO,23/03/2016,A la actualidad,CREDICORP LTD.,"0 años, 11 meses, 22 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,PRESIDENTE DEL DIRECTORIO,22/05/2014,30/03/2015,MIBANCO BANCO DE LA MICROEMPRESA S.A.,PRESIDENTE DEL DIRECTORIO,15/04/2015,23/03/2016,CREDICORP LTD.,"0 años, 0 meses, 16 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,30/03/2015,28/05/2015,MIBANCO BANCO DE LA MICROEMPRESA S.A.,PRESIDENTE DEL DIRECTORIO,23/03/2016,A la actualidad,CREDICORP LTD.,"0 años, 9 meses, 24 días."
CIGÜEÑAS GUEVARA BENEDICTO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,CREDICORP LTD.,DIRECTOR,01/04/2014,A la actualidad,CREDICORP LTD.,"6 años, 1 meses, 3 días."
CIGÜEÑAS GUEVARA BENEDICTO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,BANCO DE CREDITO DEL PERU,DIRECTOR,30/03/2012,A la actualidad,CREDICORP LTD.,"4 años, 1 meses, 1 días."
CIGÜEÑAS GUEVARA BENEDICTO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,BANCO DE CREDITO DEL PERU,DIRECTOR,31/03/2009,30/03/2012,CREDICORP LTD.,"1 años, 1 meses, 2 días."
CIGÜEÑAS GUEVARA BENEDICTO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,14/04/2011,31/08/2015,CREDICORP LTD.,"3 años, 1 meses, 16 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,CREDICORP LTD.,GERENTE DE SEGUROS,01/10/2013,A la actualidad,CREDICORP LTD.,"4 años, 6 meses, 29 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,30/09/2013,CREDICORP LTD.,"2 años, 0 meses, 29 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,25/05/2010,31/03/2011,CREDICORP LTD.,"1 años, 2 meses, 23 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,26/03/2010,25/05/2010,CREDICORP LTD.,"1 años, 0 meses, 24 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,CREDICORP LTD.,GERENTE DE SEGUROS,01/10/2013,A la actualidad,CREDICORP LTD.,"3 años, 6 meses, 28 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,21/10/2009,03/03/2010,EDYFICAR PERU S.A.,DIRECTOR,31/03/2016,A la actualidad,CREDICORP LTD.,"6 años, 0 meses, 28 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,21/10/2009,03/03/2010,EDYFICAR PERU S.A.,DIRECTOR,25/03/2014,31/03/2016,CREDICORP LTD.,"4 años, 0 meses, 22 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,21/10/2009,03/03/2010,EDYFICAR PERU S.A.,DIRECTOR,29/03/2012,25/03/2014,CREDICORP LTD.,"2 años, 0 meses, 26 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,21/10/2009,03/03/2010,EDYFICAR PERU S.A.,DIRECTOR,31/03/2010,29/03/2012,CREDICORP LTD.,"0 años, 0 meses, 28 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,30/09/2013,CREDICORP LTD.,"1 años, 0 meses, 28 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,25/05/2010,31/03/2011,CREDICORP LTD.,"0 años, 2 meses, 22 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,26/03/2010,25/05/2010,CREDICORP LTD.,"0 años, 0 meses, 23 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,CREDICORP LTD.,GERENTE DE SEGUROS,01/10/2013,A la actualidad,CREDICORP LTD.,"2 años, 6 meses, 7 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,EDYFICAR PERU S.A.,DIRECTOR,31/03/2016,A la actualidad,CREDICORP LTD.,"5 años, 0 meses, 7 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,EDYFICAR PERU S.A.,DIRECTOR,25/03/2014,31/03/2016,CREDICORP LTD.,"3 años, 0 meses, 1 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,EDYFICAR PERU S.A.,DIRECTOR,29/03/2012,25/03/2014,CREDICORP LTD.,"1 años, 0 meses, 5 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,30/09/2013,CREDICORP LTD.,"0 años, 0 meses, 7 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,CREDICORP LTD.,GERENTE DE SEGUROS,01/10/2013,A la actualidad,CREDICORP LTD.,"1 años, 6 meses, 1 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,EDYFICAR PERU S.A.,DIRECTOR,31/03/2016,A la actualidad,CREDICORP LTD.,"4 años, 0 meses, 1 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,EDYFICAR PERU S.A.,DIRECTOR,25/03/2014,31/03/2016,CREDICORP LTD.,"1 años, 11 meses, 23 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,30/03/2012,21/03/2013,CREDICORP LTD.,GERENTE DE SEGUROS,01/10/2013,A la actualidad,CREDICORP LTD.,"0 años, 6 meses, 10 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,30/03/2012,21/03/2013,EDYFICAR PERU S.A.,DIRECTOR,31/03/2016,A la actualidad,CREDICORP LTD.,"3 años, 0 meses, 10 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,30/03/2012,21/03/2013,EDYFICAR PERU S.A.,DIRECTOR,25/03/2014,31/03/2016,CREDICORP LTD.,"1 años, 0 meses, 4 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,21/03/2013,09/10/2013,EDYFICAR PERU S.A.,DIRECTOR,31/03/2016,A la actualidad,CREDICORP LTD.,"2 años, 5 meses, 22 días."
CORREA MALACHOWSKI ALVARO,PRIMA AFP S.A.,DIRECTOR,21/03/2013,09/10/2013,EDYFICAR PERU S.A.,DIRECTOR,25/03/2014,31/03/2016,CREDICORP LTD.,"0 años, 5 meses, 16 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,CREDICORP LTD.,,24/06/2016,A la actualidad,CREDICORP LTD.,"8 años, 3 meses, 26 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,CREDICORP LTD.,GERENTE DE FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"5 años, 7 meses, 2 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,CCR INC.,PRESIDENTE DEL DIRECTORIO,03/10/2013,A la actualidad,CREDICORP LTD.,"5 años, 7 meses, 4 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,BANCO DE CREDITO DEL PERU,,24/06/2016,A la actualidad,CREDICORP LTD.,"8 años, 3 meses, 26 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,BANCO DE CREDITO DEL PERU,G.CENTRAL DE PLANEA.Y FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"5 años, 7 meses, 2 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,,24/06/2016,A la actualidad,CREDICORP LTD.,"8 años, 3 meses, 26 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,GERENTE GENERAL,01/10/2013,31/08/2015,CREDICORP LTD.,"5 años, 7 meses, 2 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,30/03/2017,A la actualidad,CREDICORP LTD.,"9 años, 1 meses, 1 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,01/01/2007,29/02/2008,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,01/10/2013,30/03/2017,CREDICORP LTD.,"5 años, 7 meses, 2 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,CREDICORP LTD.,,24/06/2016,A la actualidad,CREDICORP LTD.,"7 años, 3 meses, 22 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,CREDICORP LTD.,GERENTE DE FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"4 años, 6 meses, 29 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,CCR INC.,PRESIDENTE DEL DIRECTORIO,03/10/2013,A la actualidad,CREDICORP LTD.,"4 años, 7 meses, 1 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,BANCO DE CREDITO DEL PERU,,24/06/2016,A la actualidad,CREDICORP LTD.,"7 años, 3 meses, 22 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,BANCO DE CREDITO DEL PERU,G.CENTRAL DE PLANEA.Y FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"4 años, 6 meses, 29 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,,24/06/2016,A la actualidad,CREDICORP LTD.,"7 años, 3 meses, 22 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,GERENTE GENERAL,01/10/2013,31/08/2015,CREDICORP LTD.,"4 años, 6 meses, 29 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,30/03/2017,A la actualidad,CREDICORP LTD.,"8 años, 0 meses, 28 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,29/02/2008,02/03/2009,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,01/10/2013,30/03/2017,CREDICORP LTD.,"4 años, 6 meses, 29 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,CREDICORP LTD.,,24/06/2016,A la actualidad,CREDICORP LTD.,"6 años, 3 meses, 21 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,CREDICORP LTD.,GERENTE DE FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"3 años, 6 meses, 28 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,CCR INC.,PRESIDENTE DEL DIRECTORIO,03/10/2013,A la actualidad,CREDICORP LTD.,"3 años, 7 meses, 0 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,BANCO DE CREDITO DEL PERU,,24/06/2016,A la actualidad,CREDICORP LTD.,"6 años, 3 meses, 21 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,BANCO DE CREDITO DEL PERU,G.CENTRAL DE PLANEA.Y FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"3 años, 6 meses, 28 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,21/10/2009,03/03/2010,EDYFICAR PERU S.A.,DIRECTOR,31/03/2016,A la actualidad,CREDICORP LTD.,"6 años, 0 meses, 28 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,21/10/2009,03/03/2010,EDYFICAR PERU S.A.,DIRECTOR,25/03/2014,31/03/2016,CREDICORP LTD.,"4 años, 0 meses, 22 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,21/10/2009,03/03/2010,EDYFICAR PERU S.A.,DIRECTOR,29/03/2012,25/03/2014,CREDICORP LTD.,"2 años, 0 meses, 26 días."
