"BAYLY LLONA WALTER","[2012-03-30 / 2012-03-30]","PRESIDENTE DEL DIRECTORIO","CCR Inc. MT-100 Payment Rights Master Trust","PRIMA AFP S.A.","TIT.C/D CREDITI",Después
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Bonos de Arrendamiento Financiero",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Bonos Subordinados",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Cuentas Corrientes",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Depositos a Plazo",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Otros Bonos Sector Financiero",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Acciones Comunes",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Bonos Hipotecarios del Sect. Finan.",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Certificado de Deposito Estructurado",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Certificado de Depósito Individual",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","Certificados de Depositos Seriados",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.",BON.ARR.FIN.,Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.",BON.SUB.FIN.,Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","CD SERIADOS",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.",CTAS.CTES.,Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","DEP.A PLAZO",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRIMA AFP S.A.","OTRO BONOS SIST",Antes
"BAYLY LLONA WALTER","[2017-03-28 / 2017-10-17]","PRESIDENTE DEL DIRECTORIO","Credicorp LTD.","PRIMA AFP S.A.","Acciones Comunes",Antes
