"PRIMA AFP S.A.","Banco de Crédito del Perú","[2008-09-25 / 2017-11-29]","[2011/1 - 2017/2]","FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO",DIRECTOR,"G.CENTRAL BCA. MINORISTA","2011 Enero","2017 Febrero"
"PRIMA AFP S.A.","Banco de Crédito del Perú","[2012-05-10 / 2013-03-21]","[2012/5 - 2013/3]","LOAIZA NEGREIROS RUBEN FERNANDO","VICEPRESIDENTE DEL DIRECTORIO","GERENTE DE SUBSIDIARIAS","2011 Enero","2017 Febrero"
"PRIMA AFP S.A.","Banco de Crédito del Perú","[2010-03-18 / 2012-02-22]","[2011/1 - 2012/2]","MAGGIOLO DIBOS JAVIER ERNESTO","VICEPRESIDENTE DEL DIRECTORIO","G. CENTRAL ADM. DE ACTIVOS","2011 Enero","2017 Febrero"
"PRIMA AFP S.A.","Banco de Crédito del Perú","[2010-03-04 / 2017-11-29]","[2011/1 - 2017/2]","RUBIO FEIJOO PEDRO",DIRECTOR,"G.CENTRAL DE NEGOCIOS MAYORIST","2011 Enero","2017 Febrero"
"AFP INTEGRA.","Banco Falabella","[2013-09-01 / 2017-11-29]","[2013/9 - 2017/2]","HUME HURTADO MARIA JESUS","PRESIDENTE DEL DIRECTORIO",DIRECTOR,"2011 Diciembre","2017 Febrero"
"AFP INTEGRA.","Banco Internacional del Peru S.A.A. (Interbank)","[2006-10-17 / 2008-12-16]","[2006/10 - 2008/12]","DU BOIS FREUND FRITZ PAUL FELIX",DIRECTOR,DIRECTOR,"2000 Enero","2009 Diciembre"
"AFP UNION VIDA S A","Banco Ripley","[2006-11-20 / 2012-05-29]","[2006/11 - 2006/11]","ALVAREZ DE LA TORRE JARA MARIANO EMILIO","GERENTE DE INVERSIONES","GERENTE FINANCIERO","2004 Marzo","2006 Noviembre"
"AFP UNION VIDA S A","Banco Ripley","[2006-11-20 / 2012-05-29]","[2006/11 - 2006/11]","ALVAREZ DE LA TORRE JARA MARIANO EMILIO","MIEMBRO COMITE DE RIESGOS","GERENTE FINANCIERO","2004 Marzo","2006 Noviembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2006-04-19 / 2010-09-30]","[2010/6 - 2010/6]","KLINAR BARBUZA ROBERTO","GTE. RECURSOS HUMANOS","GERENTE DE RECURSOS HUMANOS","2010 Junio","2010 Junio"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2013-03-27 / 2013-04-23]","[2013/3 - 2013/4]","ARAOZ MEDANIC JAIME",DIRECTOR,"DIRECTOR ALTERNO","2011 Enero","2013 Julio"
