companyId,shareholderId,participation,beginDate,endDate,serie
22,42,99.99,2000-11-11,,
22,42,99.99,2000-12-11,2007-01-01,
22,42,100,2002-01-18,2005-01-14,
22,42,57,2007-01-01,2007-01-01,
23,71,23.199,2000-03-24,2007-08-27,B
23,72,86.8,2007-08-27,,
24,10,7.51,2004-12-07,2005-01-13,
24,10,7.52,2005-01-13,2005-02-23,
24,10,7.45,2005-02-23,2005-08-25,
24,10,7.36,2005-08-25,2005-10-04,
24,10,7.18,2005-10-04,2005-10-11,
24,10,7.07,2005-10-11,2005-12-07,
24,10,6.92,2005-12-07,2006-02-21,
24,10,6.88,2006-02-21,2006-09-06,
24,10,6.73,2006-09-06,2006-12-11,
24,10,6.42,2007-01-05,2007-01-22,
24,10,6.15,2007-03-15,2007-04-12,
24,10,6.09,2007-04-12,2007-04-19,
24,10,6.07,2007-04-19,2007-04-26,
24,10,6.02,2007-04-26,2007-05-09,
24,10,5.98,2007-05-09,2007-05-17,
24,10,5.79,2007-05-17,2007-06-04,
24,10,5.97,2007-06-04,2007-06-19,
24,10,5.91,2007-06-19,2007-07-02,
24,10,5.86,2007-07-02,2007-07-17,
24,10,5.68,2007-07-17,2007-07-31,
24,10,5.52,2007-07-31,2007-08-08,
24,10,5.42,2007-08-08,2007-08-20,
24,10,5.34,2007-08-20,2007-08-27,
24,10,5.27,2007-08-27,2007-10-01,
24,10,5.25,2009-03-10,2009-03-24,
24,10,5.31,2009-03-24,2009-03-31,
24,10,5.55,2009-03-31,2009-05-13,
24,10,5.23,2009-05-13,2009-05-15,
24,10,5.12,2009-05-15,2009-05-29,
24,10,5.07,2009-06-29,2009-07-08,
24,10,5.13,2009-07-08,2009-07-24,
24,10,5.07,2009-07-24,2009-07-31,
24,10,5.06,2009-07-31,2009-08-03,
24,73,7.63,2000-12-31,2004-12-07,
24,11,5.65,2004-04-30,2004-11-10,
24,11,6.21,2004-11-10,2004-12-07,
24,11,6.23,2004-12-07,2005-01-13,
24,11,6.26,2005-01-13,2005-02-23,
24,11,6.17,2005-02-23,2005-10-11,
24,11,6.12,2005-10-11,2005-10-12,
24,11,6.09,2005-10-12,2005-12-07,
24,11,6.08,2005-12-07,2005-12-29,
24,11,5.89,2005-12-29,2006-01-04,
24,11,5.9,2006-01-04,2006-09-06,
24,11,6.85,2006-09-06,2006-12-11,
24,11,6.76,2007-01-05,2007-01-22,
24,11,6.43,2007-02-01,2007-03-15,
24,11,6.23,2007-02-08,2007-04-12,
24,11,6.13,2007-04-12,2007-04-19,
24,11,6.07,2007-04-19,2007-04-26,
24,11,5.64,2007-04-26,2007-05-09,
24,11,5.57,2007-05-09,2007-05-17,
24,11,5.52,2007-05-17,2007-06-04,
24,11,5.83,2007-06-04,2007-06-19,
24,11,5.81,2007-06-19,2007-07-31,
24,11,5.78,2007-07-31,2007-08-08,
24,11,5.75,2007-08-08,2007-08-20,
24,11,5.62,2007-08-20,2007-08-27,
24,11,5.53,2007-08-27,2008-03-27,
24,11,6.11,2008-03-27,2009-07-31,
24,11,6.1,2009-07-31,2009-08-14,
24,74,67.04,2005-12-12,2005-12-29,
24,74,67.41,2005-12-21,2008-08-14,
24,74,67.43,2008-08-14,2008-08-19,
24,74,67.47,2008-08-19,2012-05-16,
24,74,53.32,2012-05-16,2012-10-31,
24,74,52.63,2012-10-31,2015-10-14,
24,74,50.77,2015-10-14,2015-10-15,
24,74,50.01,2015-10-15,,
24,75,18.54,2015-09-18,2015-09-24,
24,76,20.36,2013-11-21,2013-11-22,
24,77,21.12,2012-05-16,2012-05-17,
24,77,21.09,2012-05-17,2012-05-21,
24,77,21.08,2012-05-21,2012-05-22,
24,77,21.11,2012-05-22,2012-05-24,
24,77,21.15,2012-05-24,2012-06-06,
24,77,21.17,2012-06-06,2012-06-08,
24,77,21.18,2012-06-08,2012-06-28,
24,77,21.17,2012-06-28,2012-07-06,
24,77,21.15,2012-07-06,2012-07-09,
24,77,21.13,2012-07-09,2012-07-11,
24,77,21.1,2012-07-11,2012-07-13,
24,77,21.06,2012-07-13,2012-07-17,
24,77,21.07,2012-07-17,2012-07-18,
24,77,21.08,2012-07-18,2012-07-20,
24,77,21.03,2012-07-20,2012-07-30,
24,77,21.04,2012-07-30,2012-08-03,
24,77,20.57,2012-08-03,2012-08-08,
24,77,20.49,2012-08-08,2012-08-13,
24,77,20.5,2012-08-13,2012-08-14,
24,77,20.48,2012-08-14,2012-08-15,
24,77,20.42,2012-08-15,2012-08-16,
24,77,20.33,2012-08-16,2012-08-17,
24,77,20.3,2012-08-17,2012-08-20,
24,77,20.2,2012-08-20,2012-08-21,
24,77,20.1,2012-08-21,2012-08-22,
24,77,20.06,2012-08-22,2012-08-23,
24,77,19.98,2012-08-23,2012-08-27,
24,77,19.96,2012-08-27,2012-08-28,
24,77,19.94,2012-08-28,2012-08-31,
24,77,19.93,2012-08-31,2012-09-03,
24,77,19.9,2012-09-03,2012-09-04,
24,77,19.86,2012-09-04,2012-09-14,
24,77,19.8,2012-09-14,2012-09-20,
24,77,19.79,2012-09-20,2012-09-26,
24,77,19.6,2012-09-26,2012-09-28,
24,77,19.58,2012-09-28,2012-10-04,
24,77,19.41,2012-10-04,2012-10-10,
24,77,19.42,2012-10-10,2012-10-16,
24,77,19.4,2012-10-16,2012-11-02,
24,77,19.39,2012-11-02,2012-11-06,
24,77,19.41,2012-11-06,2012-11-15,
24,77,19.43,2012-11-15,2012-11-27,
24,77,19.4,2012-11-27,2012-12-10,
24,77,19.43,2012-12-10,2012-12-18,
24,77,19.45,2012-12-18,2012-12-20,
24,77,19.47,2012-12-20,2012-12-21,
24,77,19.49,2012-12-21,2012-12-27,
24,77,19.51,2012-12-27,2012-12-31,
24,77,19.52,2012-12-31,2013-01-08,
24,77,19.53,2013-01-08,2013-01-14,
24,77,19.55,2013-01-14,2013-01-18,
24,77,19.56,2013-01-18,2013-01-23,
24,77,19.55,2013-01-23,2013-01-24,
24,77,19.56,2013-01-24,2013-01-29,
24,77,19.58,2013-01-29,2013-01-30,
24,77,19.59,2013-01-30,2013-01-31,
24,77,19.6,2013-01-31,2013-02-11,
24,77,19.61,2013-02-11,2013-02-26,
24,77,19.62,2013-02-26,2013-02-27,
24,77,19.64,2013-02-27,2013-03-04,
24,77,19.61,2013-03-04,2013-03-05,
24,77,19.59,2013-03-05,2013-03-06,
24,77,19.58,2013-03-06,2013-03-11,
24,77,19.59,2013-03-11,2013-03-18,
24,77,19.6,2013-03-18,2013-03-19,
24,77,19.62,2013-03-19,2013-03-21,
24,77,19.71,2013-03-21,2013-03-22,
24,77,19.72,2013-03-22,2013-03-25,
24,77,19.78,2013-03-26,2013-03-27,
24,77,19.79,2013-03-27,2013-04-01,
24,77,19.84,2013-04-01,2013-04-03,
24,77,19.85,2013-04-03,2013-04-08,
24,77,19.86,2013-04-08,2013-04-09,
24,77,19.88,2013-04-09,2013-04-17,
24,77,19.9,2013-04-17,2013-04-19,
24,77,19.91,2013-04-19,2013-04-24,
24,77,19.93,2013-04-24,2013-04-30,
24,77,19.94,2013-04-30,2013-05-02,
24,77,20,2013-05-02,2013-05-06,
24,77,20.03,2013-05-06,2013-05-09,
24,77,20.05,2013-05-09,2013-05-14,
24,77,20.08,2013-05-14,2013-05-17,
24,77,20.14,2013-05-17,2013-05-20,
24,77,20.15,2013-05-20,2013-05-21,
24,77,20.16,2013-05-21,2013-05-22,
24,77,20.17,2013-05-22,2013-05-23,
24,77,20.18,2013-05-23,2013-05-24,
24,77,20.31,2013-05-24,2013-05-29,
24,77,20.33,2013-05-29,2013-05-30,
24,77,20.34,2013-05-30,2013-06-04,
24,77,20.36,2013-06-04,2013-06-05,
24,77,20.37,2013-06-05,2013-06-06,
24,77,20.38,2013-06-06,2013-06-10,
24,77,20.5,2013-06-10,2013-06-13,
24,77,20.53,2013-06-13,2013-06-17,
24,77,20.54,2013-06-17,2013-06-20,
24,77,20.55,2013-06-20,2013-06-26,
24,77,20.54,2013-06-26,2013-06-27,
24,77,20.53,2013-06-27,2013-07-01,
24,77,20.52,2013-07-01,2013-07-10,
24,77,20.51,2013-07-10,2013-07-12,
24,77,20.55,2013-07-12,2013-08-01,
24,77,20.57,2013-08-01,2013-08-05,
24,77,20.58,2013-08-05,2013-08-22,
24,77,20.59,2013-08-22,2013-08-23,
24,77,20.6,2013-08-23,2013-08-27,
24,77,20.61,2013-08-27,2013-08-28,
24,77,20.62,2013-08-28,2013-09-02,
24,77,20.59,2013-09-02,2013-09-06,
24,77,20.58,2013-09-06,2013-09-11,
24,77,20.56,2013-09-11,2013-10-09,
24,77,20.55,2013-10-09,2013-10-10,
24,77,20.54,2013-10-10,2013-10-15,
24,77,20.53,2013-10-15,2013-10-16,
24,77,20.52,2013-10-16,2013-10-17,
24,77,20.5,2013-10-17,2013-10-18,
