name
A NZ Bank Group
Abengoa Transmisión Sur S.A. (Perú)
Aberdeen Global Services S.A.
ABN AMRO Investment Funds S.A.
Actis GP LLP
Activision Blizzard Inc.
Aguas Andinas S.A.
Alcoa Inc.
Allainz Global Investors
Alliance Bernstein L.P
"Altamar Capital Privado, S.G.E.C.R."
AMBEV International FInance
América Móvil Perú S.A.C.
América Movil SAB de CV
AMERICAMOVIL
Amundi Asset Management
APAX VIII GP L.P. INC.
Apollo Credit Opportunity Advisors III LP
Apple Inc.
Arch Coal Inc.
Arcos Dorados B.V.
Arcos Dorados Holdings Inc.
Arias Resource Capital GP II Ltd.
Arias Resource Capital GP Ltd.
ASF VII GP Limited
"ASSF Operating Manager IV, LP"
Australia and New Zealand Banking Group Ltd.
Aval
"Avenue Europe Capital Partners III, LLC"
Avianca
Avianca Holding
Avianca Holdings S.A.
Avianca Taca Holding S.A.
Aviva Investors Luxembourg S.A.
AXA Funds Management
Axa Rosenberg Investment Management
B. Santander BR
BAC Capital Trust S.A.
Baker Hughes Inc.
Banco Banex
Banco Bilbao Viscaya Argentaria
Banco Bilbao Vizcaya Argentaria Colombia S.A.
Banco Bradesco SA
Banco BTG Pactual S.A.
Banco Central de Chile
Banco Central de Reserva del Peru
Banco Central de Reserva del Perú
Banco Chile
Banco Davivienda S.A.
Banco de Bogotá S.A.A.
Banco de la Nación
Banco do Brasil
Banco Interamericano de Desarrollo
Banco Latino
Banco Latinomaricano de Exportaciones
Banco Santander de Brasil S.A.
Banco Santander de Chile S.A
Banco Santander México S.A.
Banco Serbanco S.A.
Banco Standard Chartered
Banco Sudamericano S.A.
Bancolombia S.A.
Bancomer
BANDOBRA
bank of new york
Bank of New York - Fiduciario
Banque BNP Paribas - Andes S.A.
Barclays Bank PLC
Barclays Global Investors International
Baring International Fund Managers
BBVA Bancomer S.A.
BCP - PF Fideicomiso en Infraestructura
Berkshire Hathaway
BlackRock Asset Management Ireland Limited
BlackRock Fund Advisors
BlackRock Global Funds
BlackRock Institutional Trust Company
BlackRock Institutional Trust Company PE
BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG
BNP Paribas S.A.
BNY Mellon Fund Management (Luxembourg) S.A.
Boeing Company
Brasil Foods
BRF Brasil Foods S.A.
Bridgepoint Advisers Limited
BRINSON ADVISORS
BROWN BROTHERS
Brown Brothers Harriman & Co.
BSantander Mexi
BTG Pactual
Calidda
Camposol
Canacol Energy Ltd.
Capital International Asset Management
"Carlyle Peru GP, L.P."
"Carlyle South America Buyout General Partner, L.P."
Celfin Capital S.A. SAFI
Cemex
Cemex S.A.B. de C.V.
Central American Bank for Economic Integration
"Chesapeake Energy Corporation, Inc."
Chicago Bridge & Iron Company
Chipotle Mexican Grill Inc.
Cía Minera Ares
Cia Minera San Ignacio de Morococha
Cia. Cervecera del Sur del Peru S.A.A.- Cervesur
Cielo S.A.
Citigroup Inc
Clariden Investment Management (Guernsey Limited
CN Odebretch
COAZUCAR DEL PERU S.A.
Coca Cola Femsa S.A.B. de C.V:
"Coller International General Partner VI, L.P."
Coller International General Partner VII L.P.
Colombia Teleco
Colombia Telecomunicaciones S.A. E.S.P.
Compañía Brasilereira de BeBanco Interamericano de Desarrolloa
Compañía de Electricidad del Estado de Bahía
Compañía Nacional de Chocolates S.A.
Compañía Sidergica Nacional
Compañía Vale do Rio Doce
Compartamos Financiera S.A.
Constructora Norberto Odebretch S.A.
Continental Resources Inc.
Continental Senior Trust
Continental Senior Trust II
Continental Trust
Conventum Asset Management
Copa Holdings S.A.
Corp Group Banking S.A.
CorpBanca
Corporación José R. Lindley S.A.
CORPORACION PRIMAX S.A
Cosan Limited
Cosan S.A.
Covidien PLC
Credifondo S.A. SAF
Credit Agricole Asset Management 
Credit Suisse International
Creditex  S.A.A.
CREDITITULOS
CRPAO PEN Trust Nº1 Series 2008-100
"CRPAO VAC Trust, Series 2009-100"
Davivienda
DBS Bank Ltd
DeAWM Investmen
DEPÓSITOS OVERNIGHT - CMS
Deutsche Asset Management S.A.
"Deutsche Bank, London Branch - Peru"
Deutsche Telekom Ag
Dimensional Fund Advisors
Discover Financ
Discover Financial Services
DnB Bank ASA
Dover VII Associates L.P.
DUKE E.I EGENOR
DWS Investment S.A.
E.T de Bogota
Eastspring Investments (Luxembourg) S.A.
E-CL S.A
ECOPETROL S.A.
"EDM Gestión, S.A., S.G.I.I.C."
EE10
EE11
EE12
Efic Partners S.A.C.
El Puerto de Liverpool S.A.B. de C.V.
Electroandes
"Elementia, S.A. de C.V."
Emblem Finance N 02
Emgesa
Emgesa S.A. E.S.P
Empresa de Telecomunicaciones de Bogotá S.A. E.S.P.
EMPRESAS PÚBLICAS DE MEDELLIN
Energía Eólica S.A.
Enersis S.A.
ENERSUR
EOG Resources
"EOG Resources, Inc."
EP Medellin
Fannie Mae
Federated Investment Management Company
Fibria Overseas Finance Ltd.
Fidelity International Ltd
FIL Investment Management (Luxembourg) S.A.
Financiera de Desarrollo Territorial S.A.
Findeter
First Quantum Minerals Ltd.
First Trust Advisors L.P.
Fluor Corporation
FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A
Franklin Templeton Investment international
Freddie Mac
Freeport - McMoran Copper & Gold
Gafisa S.A.
GAM (Luxembourg) S.A.
GAM International Management Limited
Gartmore Investment Limited
GBM Administradora de Activos
General Electric
Gerdau S.A.
GOB CHILE
GOB COL
GOB MEX
Gobierno Central
Gobierno de Alemania
Gobierno de Australia
Gobierno de México
Gobierno Reino Unido
Gol - Líneas aéreas inteligentes S.A
Goldman Sachs Asset Management
Google Inc.
Grana y Montero Edificaciones S.A.
Groupama Asset Management
Grupo Aval Acciones y Valores S.A.
Grupo de Inversiones Suramericana S.A.
"Grupo Embotellador Atic, S.L."
Grupo Financiero Banorte S.A.B.
"Grupo Financiero Santander México, S.A.B. de C.V."
"Grupo Mexico, S.A.B. de C.V."
Grupo Sindicato Pesquero del Peru S.A.
Grupo Televisa S.A.
GTL Trade Finance
Guanay Finance Limited
Halliburton Company
Harbor Capital Advisors
HarbourVest IX-Buyout Associates LLC
HarbourVest Partners L.P.
Henderson Investment Funds Limited
HIPEP VI-Associates L.P.
HIPEP VII Associates LLC
HollyFrontier Corporation
Home Depot Inc.
Homex S.A.
Honeywell International Inc
IBK DPR SECURITIZADORA
"ICA, S.A.B. de C.V."
ICG Europe Fund VI GP Limited
IIRSA Norte Finance Limited
InRetail Consumer
InRetail Shopping Malls
Intercorp Retail Trust
Intergroup
Interoceanica IV Finance Limited
Interoceanica V Finance Limited
Interproperties Finance Trust
Inversiones Alsacia S.A. 
Invesco
Invesco Fund Managers Limited
Invesco Global Asset Management Limited
Invesco Management S.A.
Investec Global Strategy Fund
Invexans S.A.
ITAU Corpbanca / Corpbanca NY Branch
ITAU UNIBANCO
Itau Unibanco Holding S.A
