178,2
179,3
180,4
181,4
182,4
183,3
184,3
185,3
186,4
187,4
188,4
189,3
190,3
191,3
192,3
193,4
194,4
195,4
196,3
197,3
198,3
199,3
200,4
201,4
202,4
203,4
204,2
205,2
206,4
207,3
208,3
209,3
210,3
211,4
212,4
213,4
214,2
215,5
216,3
217,2
218,2
219,2
220,2
221,2
222,1
223,1
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,4
242,5
243,2
244,2
245,4
246,4
247,2
248,5
249,3
250,4
251,4
252,4
253,4
254,4
255,4
256,2
257,4
258,3
259,3
260,3
261,4
262,4
263,2
264,2
265,2
266,2
267,3
268,3
269,3
270,4
271,4
272,4
273,4
274,3
275,3
276,2
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,2
285,4
286,3
287,3
288,3
289,4
290,4
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,2
299,3
300,3
301,5
302,5
303,5
304,4
305,3
306,2
307,2
308,3
309,3
310,3
311,3
312,3
313,4
314,4
315,4
316,3
317,5
318,5
319,5
320,2
321,2
322,4
323,2
324,4
325,2
326,3
327,4
328,2
329,2
330,2
331,4
332,3
333,4
334,3
335,4
336,3
337,3
338,4
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,5
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,3
357,1
358,4
359,3
360,4
361,4
362,2
363,2
364,3
365,4
366,3
367,4
368,4
369,2
370,3
371,3
372,4
373,4
374,4
375,4
376,3
377,3
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,3
387,4
388,3
389,3
390,4
391,2
392,2
393,3
394,2
395,2
396,3
397,3
398,3
399,3
400,3
401,3
402,4
403,4
404,4
405,4
406,4
407,4
408,3
409,3
410,3
411,3
412,5
413,3
414,4
415,5
416,5
417,5
418,5
419,2
420,5
421,5
422,5
423,3
424,4
425,4
426,4
427,4
428,4
429,3
430,2
431,2
432,2
433,3
434,4
435,4
436,2
437,2
438,4
439,3
440,2
441,4
442,3
443,3
444,4
445,4
446,4
447,4
448,4
449,3
450,2
451,5
452,3
453,2
454,3
455,2
456,4
457,4
458,4
459,3
460,4
461,2
462,3
463,3
464,4
465,3
466,4
467,2
468,4
469,4
470,3
471,4
472,2
473,4
474,2
475,3
476,3
477,4
478,3
479,3
480,4
481,4
482,2
483,2
484,4
485,3
486,3
487,3
488,3
489,4
490,3
491,4
492,4
493,4
494,4
495,4
496,5
497,5
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,4
506,4
507,4
508,4
509,4
510,3
511,3
512,3
513,3
514,3
515,5
516,3
517,1
518,1
519,1
520,1
521,3
522,3
523,3
524,4
525,4
526,3
527,3
528,3
529,4
530,4
531,2
532,2
533,3
534,4
535,5
536,2
537,5
538,4
539,2
540,4
541,3
542,4
543,2
544,2
545,3
546,3
547,4
548,3
549,3
550,3
551,3
552,3
553,3
554,4
555,4
556,3
557,3
558,2
559,3
560,4
561,4
562,3
563,3
564,4
565,3
566,3
567,1
568,4
569,4
570,2
571,3
572,4
573,4
574,4
575,2
576,2
577,3
578,4
579,3
580,2
581,3
582,4
583,2
584,2
585,4
586,3
1,4
2,3
3,3
4,2
5,3
6,3
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,5
18,2
19,2
20,2
21,2
22,5
23,3
24,3
25,3
26,3
27,3
28,2
29,5
30,2
31,3
32,3
33,3
34,3
35,4
36,3
37,3
38,3
39,5
40,3
41,2
42,3
43,2
44,3
45,3
46,5
47,2
48,2
49,2
50,2
51,2
52,2
53,3
54,3
55,3
56,3
57,3
58,4
59,3
60,3
61,4
62,3
64,2
65,2
66,2
67,2
68,3
69,3
70,3
71,2
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,2
81,5
82,2
83,2
84,3
85,3
87,2
88,2
89,2
90,3
91,3
92,4
93,3
94,2
95,3
96,3
97,3
98,4
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
109,3
110,3
111,5
112,2
113,4
114,3
115,3
117,3
119,4
120,3
121,3
122,3
123,3
124,5
125,3
126,3
127,3
128,3
129,3
130,4
131,3
132,3
