"CARRANZA JAHNSEN RAFAEL OSCAR","GRUPO BBVA","[2008-12-17 / 2009-01-30]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos de Titulización",Antes
"CARRANZA JAHNSEN RAFAEL OSCAR","GRUPO BBVA","[2008-12-17 / 2009-01-30]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Hipotecarios del Sector Financiero",Antes
"CARRANZA JAHNSEN RAFAEL OSCAR","GRUPO BBVA","[2008-12-17 / 2009-01-30]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Titulizados Hipotecarios",Antes
"CARRANZA JAHNSEN RAFAEL OSCAR","GRUPO BBVA","[2008-12-17 / 2009-01-30]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos de Titulización",Antes
"CARRANZA JAHNSEN RAFAEL OSCAR","GRUPO BBVA","[2008-12-17 / 2009-01-30]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Hipotecarios del Sector Financiero",Antes
"CARRANZA JAHNSEN RAFAEL OSCAR","GRUPO BBVA","[2008-12-17 / 2009-01-30]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Titulizados Hipotecarios",Antes
"CARRANZA JAHNSEN RAFAEL OSCAR","GRUPO BBVA","[2008-12-17 / 2009-01-30]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos de Titulización",Antes
"CARRANZA JAHNSEN RAFAEL OSCAR","GRUPO BBVA","[2008-12-17 / 2009-01-30]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Hipotecarios del Sector Financiero",Antes
"CARRANZA JAHNSEN RAFAEL OSCAR","GRUPO BBVA","[2008-12-17 / 2009-01-30]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Titulizados Hipotecarios",Antes
"GONZALES CHIRINOS BRUNO","GRUPO BBVA","[2011-07-18 / 2013-04-23]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos de Titulización",Antes
"GONZALES CHIRINOS BRUNO","GRUPO BBVA","[2011-07-18 / 2013-04-23]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Hipotecarios del Sector Financiero",Antes
"GONZALES CHIRINOS BRUNO","GRUPO BBVA","[2011-07-18 / 2013-04-23]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Titulizados Hipotecarios",Antes
"PELLEJERO COLLADO ENRIQUE","GRUPO BBVA","[2002-10-17 / 2004-02-05]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos de Titulización",Antes
"PELLEJERO COLLADO ENRIQUE","GRUPO BBVA","[2002-10-17 / 2004-02-05]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Hipotecarios del Sector Financiero",Después
"PELLEJERO COLLADO ENRIQUE","GRUPO BBVA","[2002-10-17 / 2004-02-05]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Titulizados Hipotecarios",Después
