"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,1,Enero
"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,2,Febrero
"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,3,Marzo
"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,4,Abril
"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,5,Mayo
"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,6,Junio
"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,7,Julio
"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,8,Agosto
"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,9,Setiembre
"BAYLY LLONA WALTER","GRUPO CREDITO S.A.","[2010-11-11 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.",RI01,"Bonos de Arrendamiento Financiero",0,0,2011,10,Octubre
